PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
ANGIOCLIN,EXAME,USG GLÂNDULAS SALIVARES,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG JOELHO,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG MAMA  E AXILA,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG MÃO,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG OBSTETRICO COM DOPPLER,"R$ 300,00","R$ 300,00","R$ 300,00"
ANGIOCLIN,EXAME,USG USG OBSTETRICO SEM DOPPLER,"R$ 200,00","R$ 200,00","R$ 200,00"
ANGIOCLIN,EXAME,USG OMBRO,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG PAREDE ABDOMINAL,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG PARTES MOLES,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG PÉ ,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG PERFIL BIOFISICO FETAL - PBF,"R$ 140,00","R$ 140,00","R$ 140,00"
ANGIOCLIN,EXAME,USG PELVE VIA TRANSABDOMINAL,"R$ 250,00","R$ 250,00","R$ 250,00"
ANGIOCLIN,EXAME,USG PRÓSTATA VIA ABDOMINAL ,"R$ 200,00","R$ 200,00","R$ 200,00"
ANGIOCLIN,EXAME,USG PUNHO,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG REGIÃO INGUINAL ,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG RINS E VIAS URINARIAS ,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG TIREOIDE COM DOPPLER,"R$ 250,00","R$ 250,00","R$ 250,00"
ANGIOCLIN,EXAME,USG TIREOIDE SEM DOPPLER,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG TORNOZELO,"R$ 180,00","R$ 180,00","R$ 180,00"
ANGIOCLIN,EXAME,USG TRANSVARGINAL COM DOPPLER,"R$ 320,00","R$ 320,00","R$ 320,00"
ANGIOCLIN,EXAME,USG TRANSVARGINAL SEM DOPPLER,"R$ 250,00","R$ 250,00","R$ 250,00"
SALUZ,PROCEDIMENTO,APLICAÇÃO DE ATA,"R$ 120,00","R$ 90,00","R$ 108,00"
SALUZ,EXAME,BIOPSIA DA VAGINA (INCLUI RETORNO),"R$ 600,00","R$ 450,00","R$ 550,00"
SALUZ,EXAME,BIOPSIA DE COLO DE UTERO OU VULVA (INCLUI RETONRO),"R$ 600,00","R$ 450,00","R$ 550,00"
SALUZ,PROCEDIMENTO,CAF COM ANESTESIA LOCAL,"R$ 1.000,00","R$ 800,00","R$ 950,00"
SALUZ,EXAME,CITOLOGIA ONCOTICA DE LIQUIDOS,"R$ 300,00","R$ 200,00","R$ 240,00"
SALUZ,EXAME,CITOLOGIA ONCOTICA TRADICIONAL,"R$ 200,00","R$ 125,00","R$ 160,00"
SALUZ,CONSULTA,CONSULTA CARDIOLOGISTA,"R$ 250,00","R$ 125,00","R$ 150,00"
SALUZ,CONSULTA,CONSULTA CIRURGIA GERAL,"R$ 250,00","R$ 125,00","R$ 150,00"
SALUZ,CONSULTA,CONSULTA CLINICO GERAL,"R$ 180,00","R$ 125,00","R$ 150,00"
SALUZ,CONSULTA,CONSULTA ENDOCRINOLOGISTA,"R$ 250,00","R$ 125,00","R$ 150,00"
SALUZ,CONSULTA,CONSULTA GERIATRA,"R$ 250,00","R$ 125,00","R$ 150,00"
