Parceiro;Procedimento;Valor_particular;Valor_repasse;Data da atualização;Valor_venda;Valor_Promoção;Sem_Nota;CÓDIGO
César Lamark;Abdominoplastia; R$ 18.000,00 ; R$ 14.400,00 ;02/06/2025;; R$ 14.400,00 ;;César LamarkAbdominoplastia
César Lamark;Mamoplastia Redutora Com Prótese; R$ 18.000,00 ; R$ 14.400,00 ;02/06/2025;; R$ 14.400,00 ;;César LamarkMamoplastia Redutora Com Prótese
César Lamark;Mastopexia Com Protese Multiplanos Em L; R$ 20.000,00 ; R$ 16.000,00 ;02/06/2025;; R$ 16.000,00 ;;César LamarkMastopexia Com Protese Multiplanos Em L
César Lamark;Matopexia com Prótese; R$ 20.000,00 ; R$ 16.000,00 ;08/07/2025;;;;César LamarkMatopexia com Prótese
César Lamark;Mastopexia sem Prótese; R$ 20.000,00 ; R$ 16.000,00 ;21/07/2025;;;;César LamarkMastopexia sem Prótese
César Lamark;Mamoplastia De Aumento Submuscular Estruturada; R$ 20.000,00 ; R$ 16.000,00 ;08/07/2025;;;;César LamarkMamoplastia De Aumento Submuscular Estruturada
César Lamark;Enxerto de Glúteo; R$ 3.250,00 ; R$ 2.500,00 ;02/06/2025;;;;César LamarkEnxerto de Glúteo
César Lamark;Braquioplastia; R$ 20.000,00 ; R$ 16.000,00 ;02/06/2025;; R$ 16.000,00 ;;César LamarkBraquioplastia
César Lamark;Argon 4; R$ 8.000,00 ; R$ 6.000,00 ;02/06/2025;; R$ 6.000,00 ;;César LamarkArgon 4
César Lamark;Consulta; R$ 600,00 ; R$ 350,00 ;01/07/2025;; R$ 250,00 ;;César LamarkConsulta
Wolff Hans;Lipoaspiração Média 2 A 4 Horas; R$ 10.000,00 ; R$ 8.000,00 ;22/05/2025;;;;Wolff HansLipoaspiração Média 2 A 4 Horas
Wolff Hans;Lipoaspiração Pequena Até 2 Horas; R$ 7.500,00 ; R$ 6.000,00 ;22/05/2025;;;;Wolff HansLipoaspiração Pequena Até 2 Horas
Wolff Hans;Lipoescultura; R$ 15.000,00 ; R$ 12.000,00 ;22/05/2025;;;;Wolff HansLipoescultura
