PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Ricardo Arcanjo,Procedimento,Retirada De Vesícula - Colecistectomia Vídeo,"R$3.800,00","R$3.500,00","R$ 0,00"
Ricardo Arcanjo,Procedimento,Herniorrafia Inguinal Unilateral Aberta - Para Hérnias Na Virilha,"R$4.500,00","R$3.000,00","R$ 0,00"
Ricardo Arcanjo,Procedimento,Herniorrafia Umbilical - Para Hérnia No Umbigo,"R$3.800,00","R$2.800,00","R$ 0,00"
Ricardo Arcanjo,Procedimento, Cirurgia Bariátrica,"R$11.000,00","R$9.000,00","R$ 0,00"
Ricardo Arcanjo,Procedimento, Herniorrafia Inguinal Vídeo - Hérnias Na Virilha Por Vídeo,"R$4.000,00","R$3.200,00","R$ 0,00"
