Nome,Telefone,Email,Rua,Número,Bairro,Cidade,Estado,CEP,Complemento,Ponto de referência,Tipo,Subtipo,Especialidade,CNPJ/CPF
CEPAT,,,Rua Tobias Barreto,132,Centro ,Petrolina ,PE,56304-038,,,Local,Laboratório,Exames clínicos,31.381.090/0001-31
Clau Rodrigues estética avançada,,,Avenida da Integração,732,São José,Petrolina ,PE,56304-039,,,Local,Consultório,Procedimento estético,50.273.233 0001-36
Imaculada Conceição,,,Rua Joaquim Nabuco,685,Centro,Petrolina ,PE,56304-040,,,Local,Hospital,Multidisciplinar,11.968.997/0001-94
Pró-mulher,,,R. Joaquim Nabuco,649,Centro ,Petrolina ,PE,56304-220,,,Local,Clínica,Ginecologia,41.245.970/0001-37
Reabilitar clínica de fisioterapia LTDA,,,Rua Quinze de Novembro,83,Centro ,Juazeiro,BA,48905-090,,,Local,Clínica,Fisioterapia,16.812.699/0001-24
São Lucas,,,Av. São João,365,Jardim Florida,Juazeiro,BA,48900-572,,,Local,Hospital,Multidisciplinar,96.509.690/0001-88 
SELAC,,,R. Tobias Barreto,279,Centro ,Petrolina ,PE,56.304-210,,,Local,Laboratório,Exames clínicos,06.143.057/0001-26 
