PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Biolab,Exame,ANÁTOMO PATOLÓGICO1 FRAGMENTO," R$  220,00 "," R$  154,00 ","R$ 0,00"
Biolab,Exame,ANDROSTENEDIONA," R$  30,00 "," R$  24,00 ","R$ 0,00"
Biolab,Exame,ANTI CARDIOLIPINA IGA," R$  70,00 "," R$  40,00 ","R$ 0,00"
Biolab,Exame,ANTI CARDIOLIPINA IGG," R$  60,00 "," R$  40,00 ","R$ 0,00"
Biolab,Exame,ANTI CARDIOLIPINA IGM," R$  60,00 "," R$  40,00 ","R$ 0,00"
Biolab,Exame,ANTI CCP (CYCLIC CITRULLINATED PEPTIDE)," R$  100,00 "," R$  65,00 ","R$ 0,00"
Biolab,Exame,ANTI ENDOMISIO IGA," R$  110,00 "," R$  57,00 ","R$ 0,00"
Biolab,Exame,ANTI ENDOMISIO IGG," R$  60,00 "," R$  50,00 ","R$ 0,00"
Biolab,Exame,ANTI ENDOMISIO IGM," R$  60,00 "," R$  50,00 ","R$ 0,00"
Biolab,Exame,ANTI FATOR INTRINSECO," R$  220,00 "," R$  154,00 ","R$ 0,00"
Biolab,Exame,ANTI MPO MIELOPEROXIDASE," R$  520,00 "," R$  364,00 ","R$ 0,00"
Biolab,Exame,ANTI PR3," R$  520,00 "," R$  364,00 ","R$ 0,00"
Biolab,Exame,ANTI U1 RNP," R$  40,00 "," R$  28,00 ","R$ 0,00"
Biolab,Exame,ANTIBIOGRAMA," R$  20,00 "," R$  2,00 ","R$ 0,00"
Biolab,Exame,ANTICOAGULANTE LUPICO," R$  60,00 "," R$  55,00 ","R$ 0,00"
Biolab,Exame,ANTICORPO ANTI- GAD - GAD- AB-ANTIDESCARBOXILASE DO ÁCIDO," R$  220,00 "," R$  170,00 ","R$ 0,00"
Biolab,Exame,ANTICORPO ANTI ILHOTA," R$  160,00 "," R$  112,00 ","R$ 0,00"
