PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
CardioVida,Cardiologia,CONSULTA CARDIOLOGISTA,"R$ 250,00","R$ 100,00","R$ 0,00"
CardioVida,Cardiologia,ECOCARDIOGRAMA,"R$ 300,00","R$ 180,00","R$ 0,00"
CardioVida,Cardiologia,MAPA,"R$ 200,00","R$ 150,00","R$ 0,00"
CardioVida,Cardiologia,HOLTER,"R$ 200,00","R$ 150,00","R$ 0,00"
CardioVida,Cardiologia,TESTE ERGOMETRICO,"R$ 250,00","R$ 150,00","R$ 0,00"
CardioVida,Cardiologia,ECG,"R$ 60,00","R$ 35,00","R$ 0,00"
